,date_time,age,gender,experience,seniority,salary,company_type,year,programming_language
0,2018-12-14 12:41:33,43,Male,11.0,Senior,77000.0,Product,2018,None
1,2018-12-14 12:42:09,33,Female,8.0,Senior,65000.0,Product,2018,None
2,2018-12-14 12:47:36,32,Male,10.0,Senior,88000.0,Product,2018,None
3,2018-12-14 12:50:15,25,Male,6.0,Senior,78000.0,Product,2018,None
4,2018-12-14 12:50:31,39,Male,10.0,Senior,69000.0,Ecom retailer,2018,None
5,2018-12-14 12:52:24,37,Male,8.0,Senior,98000.0,Insurance,2018,None
6,2018-12-14 12:53:47,0,Male,5.0,Senior,65000.0,Product,2018,None
7,2018-12-14 12:53:47,36,Female,8.0,Senior,109000.0,Other,2018,None
8,2018-12-14 12:54:20,32,Male,3.0,Senior,65000.0,Startup,2018,None
9,2018-12-14 12:55:44,30,Male,8.0,Senior,60000.0,Agency,2018,None
10,2018-12-14 12:56:28,40,Male,18.0,Senior,70000.0,Product,2018,None
11,2018-12-14 12:56:31,33,Male,8.0,Senior,70000.0,Product,2018,None
12,2018-12-14 12:59:58,31,Female,0.0,Senior,55000.0,Startup,2018,None
13,2018-12-14 13:00:13,29,Male,6.0,Middle,55000.0,Product,2018,None
14,2018-12-14 13:03:34,32,Male,11.0,Middle,94500.0,Product,2018,None
15,2018-12-14 13:06:18,25,Female,3.0,Junior,46000.0,Startup,2018,None
16,2018-12-14 13:07:09,33,Male,11.0,Senior,68000.0,Product,2018,None
17,2018-12-14 13:10:26,24,Male,4.0,Middle,60000.0,Product,2018,None
18,2018-12-14 13:16:09,44,Male,17.0,Senior,62500.0,Agency,2018,None
19,2018-12-14 13:20:36,37,Male,19.0,Senior,80000.0,Startup,2018,None
20,2018-12-14 13:25:17,29,Male,10.0,Senior,132250.0,Big Tech,2018,None
21,2018-12-14 13:25:49,34,Female,10.0,Senior,53000.0,Startup,2018,None
22,2018-12-14 13:25:58,28,Male,5.0,Middle,52000.0,Product,2018,None
23,2018-12-14 13:28:36,35,Male,10.0,Senior,95000.0,Consultancy,2018,None
24,2018-12-14 13:29:27,32,Male,4.0,Senior,72000.0,Agency,2018,None
25,2018-12-14 13:29:56,40,Female,15.0,Middle,55000.0,Product,2018,None
26,2018-12-14 13:32:27,39,Male,15.0,Senior,77000.0,Product,2018,None
27,2018-12-14 13:32:43,38,Male,12.0,Senior,72000.0,Product,2018,None
28,2018-12-14 13:33:51,28,Male,8.0,Senior,80000.0,Product,2018,None
29,2018-12-14 13:33:54,31,Male,5.0,Middle,66000.0,Product,2018,None
30,2018-12-14 13:39:08,39,Male,10.0,Middle,75800.0,Corporation,2018,None
31,2018-12-14 13:40:40,35,Female,12.0,Senior,84000.0,Startup,2018,None
32,2018-12-14 13:43:36,32,Male,10.0,Senior,60000.0,Product,2018,None
33,2018-12-14 13:43:50,27,Male,4.0,Middle,57000.0,Product,2018,None
34,2018-12-14 13:43:50,0,Male,2.0,Junior,58000.0,Product,2018,None
35,2018-12-14 13:44:05,31,Male,1.0,Junior,36000.0,Startup,2018,None
36,2018-12-14 13:44:09,31,Male,10.0,Senior,70000.0,Product,2018,None
37,2018-12-14 13:44:09,32,Male,10.0,Senior,72000.0,Product,2018,None
38,2018-12-14 13:44:38,35,Male,5.0,Middle,75000.0,Product,2018,None
39,2018-12-14 13:44:52,33,Male,9.0,Middle,90000.0,Product,2018,None
40,2018-12-14 13:44:54,32,Male,7.0,Senior,69000.0,Product,2018,None
41,2018-12-14 13:44:55,41,Male,20.0,Senior,113000.0,Startup,2018,None
42,2018-12-14 13:45:42,0,Male,10.0,Senior,65000.0,Product,2018,None
43,2018-12-14 13:45:55,30,Male,7.0,Middle,75000.0,Product,2018,None
44,2018-12-14 13:46:20,24,Female,3.0,Middle,57000.0,Product,2018,None
45,2018-12-14 13:46:29,43,Male,10.0,Senior,84000.0,Product,2018,None
46,2018-12-14 13:46:46,28,Male,6.0,Senior,70000.0,Product,2018,None
47,2018-12-14 13:46:50,29,Male,1.0,Junior,55000.0,Product,2018,None
48,2018-12-14 13:47:09,32,Male,6.0,Senior,60000.0,Product,2018,None
49,2018-12-14 13:47:36,31,Male,11.0,Senior,65000.0,Product,2018,None
50,2018-12-14 13:48:17,33,Male,10.0,Senior,70000.0,Startup,2018,None
51,2018-12-14 13:50:54,29,Male,7.0,Middle,50000.0,Product,2018,None
52,2018-12-14 13:52:38,28,Male,7.5,Middle,65000.0,Agency,2018,None
53,2018-12-14 13:54:01,32,Male,10.0,Senior,78000.0,Startup,2018,None
54,2018-12-14 13:54:15,26,Female,1.0,Junior,60000.0,Product,2018,None
55,2018-12-14 13:54:24,34,Male,10.0,Senior,71000.0,Startup,2018,None
56,2018-12-14 13:54:51,29,Male,9.0,Senior,75000.0,Product,2018,None
57,2018-12-14 13:55:13,27,Female,1.0,Junior,49000.0,Consultancy,2018,None
58,2018-12-14 13:55:42,28,Male,4.0,Senior,65000.0,Product,2018,None
59,2018-12-14 13:56:04,34,Male,10.0,Senior,68000.0,Product,2018,None
60,2018-12-14 13:58:27,35,Male,10.0,Senior,56000.0,Product,2018,None
61,2018-12-14 14:00:15,32,Female,3.0,Junior,30000.0,Product,2018,None
62,2018-12-14 14:00:22,32,Male,11.0,Senior,72000.0,Product,2018,None
63,2018-12-14 14:00:57,0,Female,4.0,Middle,65000.0,Product,2018,None
64,2018-12-14 14:01:59,29,Male,5.0,Middle,45000.0,Agency,2018,None
65,2018-12-14 14:03:15,36,Female,4.0,Middle,55000.0,Product,2018,None
66,2018-12-14 14:03:29,29,Male,6.0,Middle,40000.0,Product,2018,None
67,2018-12-14 14:04:31,25,Male,5.0,Middle,66000.0,Agency,2018,None
68,2018-12-14 14:04:45,0,Male,7.0,Senior,66000.0,Product,2018,None
69,2018-12-14 14:04:58,0,Female,5.0,Middle,54000.0,Product,2018,None
70,2018-12-14 14:05:28,25,Male,3.0,Senior,60000.0,Startup,2018,None
71,2018-12-14 14:08:20,32,Male,6.0,Middle,50000.0,Product,2018,None
72,2018-12-14 14:09:38,29,Male,7.0,Senior,60000.0,Product,2018,None
73,2018-12-14 14:10:00,0,Male,3.0,Senior,48000.0,Agency,2018,None
74,2018-12-14 14:11:36,26,Male,4.0,Middle,66000.0,Agency,2018,None
75,2018-12-14 14:15:19,33,Male,10.0,Senior,95000.0,Product,2018,None
